alert_id,timestamp,scope,track_id,level,current_zone,inspection_priority,message,recommendation,audio_localized,disclaimer
alert-abdd17f6,33.0,TRACK,17,ALERT,ZONE_3,87.51863076923077,Track #17 in ZONE_3 shows alert-level behavioural deviation (87.5/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-0f7ae63d,33.0,TRACK,24,ALERT,ZONE_4,72.77267692307693,Track #24 in ZONE_4 shows alert-level behavioural deviation (72.8/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-7ee05b70,10.0,TRACK,17,ALERT,ZONE_3,73.7495,Track #17 in ZONE_3 exhibits persistent behavioral deviation (73.7/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-da892fa6,20.0,TRACK,17,ALERT,ZONE_2,77.49945,Track #17 in ZONE_2 exhibits persistent behavioral deviation (77.5/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-9544bbf8,10.0,TRACK,102,WATCH,ZONE_2,67.2495,Track #102 in ZONE_2 exhibits persistent behavioral deviation (67.2/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-a67b33a6,15.0,TRACK,102,ALERT,ZONE_2,72.1995,Track #102 in ZONE_2 exhibits persistent behavioral deviation (72.2/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-8318ba02,20.0,TRACK,102,ALERT,ZONE_2,76.1995,Track #102 in ZONE_2 exhibits persistent behavioral deviation (76.2/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-40482116,25.0,TRACK,102,ALERT,ZONE_2,76.8495,Track #102 in ZONE_2 exhibits persistent behavioral deviation (76.8/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-c2ff1df2,30.0,TRACK,102,ALERT,ZONE_2,76.5495,Track #102 in ZONE_2 exhibits persistent behavioral deviation (76.5/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-37f1b83c,50.0,TRACK,55,WATCH,ZONE_1,62.24975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (62.2/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-2d1bc78b,55.0,TRACK,55,WATCH,ZONE_1,65.29975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (65.3/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-183882b6,60.0,TRACK,55,WATCH,ZONE_1,65.04975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (65.0/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-3539e0c6,65.0,TRACK,55,WATCH,ZONE_1,60.84975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (60.8/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-3aea5c44,70.0,TRACK,55,WATCH,ZONE_1,52.14975,Track #55 in ZONE_1 exhibits persistent behavioral deviation (52.1/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-3a9ad106,33.0,TRACK,17,ALERT,ZONE_3,87.51863076923077,Track #17 in ZONE_3 shows alert-level behavioural deviation (87.5/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-5d0e80bb,33.0,TRACK,24,ALERT,ZONE_4,72.77267692307693,Track #24 in ZONE_4 shows alert-level behavioural deviation (72.8/100) during an active flock-level acoustic alert. Note: Audio source is not localized to this individual bird.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-3afccf33,10.0,TRACK,17,ALERT,ZONE_3,73.7495,Track #17 in ZONE_3 exhibits persistent behavioral deviation (73.7/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-03d7e188,20.0,TRACK,17,ALERT,ZONE_2,77.49945,Track #17 in ZONE_2 exhibits persistent behavioral deviation (77.5/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-fdbfc67d,10.0,TRACK,102,WATCH,ZONE_2,67.2495,Track #102 in ZONE_2 exhibits persistent behavioral deviation (67.2/100) based on camera tracking observation.,Inspect the tracked bird when practical and continue monitoring behavioral trend over the next 2–6 hours.,False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-a912a6e8,15.0,TRACK,102,ALERT,ZONE_2,72.1995,Track #102 in ZONE_2 exhibits persistent behavioral deviation (72.2/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
alert-f4c44eb8,20.0,TRACK,102,ALERT,ZONE_2,76.1995,Track #102 in ZONE_2 exhibits persistent behavioral deviation (76.2/100) based on camera tracking observation.,"Promptly inspect the tracked bird and surrounding flock environment (litter, waterers, ventilation). If concerning clinical signs persist, consult a certified poultry veterinarian.",False,FlockSense provides early-warning screening and does not diagnose poultry disease.
