filepath,filename,parent_folder,original_class,mapped_class,duration_seconds,sample_rate,channels,extension,file_size_bytes,sha256,recording_group,validity_status
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/1.wav,1.wav,Healthy,Healthy,NORMAL,14.5101,48000,1,.wav,1393198,a94b260ab1e1a8a2a688df7820f06c073d85955c736dac398a9638d2251739ac,Healthy_1,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/10.wav,10.wav,Healthy,Healthy,NORMAL,37.8984,48000,1,.wav,3638472,ba71f94e3d28dbd48232a70e41533ccd0c3f7a4a84cc7e4bb2e5f34ffafbb5be,Healthy_10,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/100.wav,100.wav,Healthy,Healthy,NORMAL,34.7479,48000,1,.wav,3336026,1392a6dfeb5b34da5e4b36db06432278862609418d9e0f3adc096cd38d60e669,Healthy_100,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/101.wav,101.wav,Healthy,Healthy,NORMAL,10.5755,48000,1,.wav,1015472,6b52e548ad3fc6e772411a8e5995d28e404eed3de7e714173ff56478e964f596,Healthy_101,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/102.wav,102.wav,Healthy,Healthy,NORMAL,12.8416,48000,1,.wav,1233024,a01c1f79e99f202dd1525886e289570a4d52de20d7cda354b957669d67600253,Healthy_102,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/103.wav,103.wav,Healthy,Healthy,NORMAL,6.7985,48000,1,.wav,652884,312e47e25c9c44b6b272b45a0868d8fe1277898a7906f7b3e48ee8ddf64622b5,Healthy_103,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/104.wav,104.wav,Healthy,Healthy,NORMAL,19.6401,48000,1,.wav,1885680,85721bdbfa8b2f3e6c90a9e17a7e21862aa9ed8bd39c0d9ae1110030d0cc56b3,Healthy_104,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/105.wav,105.wav,Healthy,Healthy,NORMAL,59.6757,48000,1,.wav,5729098,ba144d07fe21a0ffd50e0150703c5fc80fb2c930640aed8e81be6766359fb61c,Healthy_105,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/106.wav,106.wav,Healthy,Healthy,NORMAL,24.9279,48000,1,.wav,2393302,c67797b963b2d89fbe3878874db7351ad5ef2b7f0b8bbd7431c2cb194df6af0c,Healthy_106,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/107.wav,107.wav,Healthy,Healthy,NORMAL,9.8201,48000,1,.wav,942954,f0de5530dc6f5002d4199c19c77458199e1b7084231f8a5701845e9e99a9bf6a,Healthy_107,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/108.wav,108.wav,Healthy,Healthy,NORMAL,21.1689,48000,1,.wav,2032440,6218eb821fac2c4b489aa5c70d4c15ea1364e70cb41760515336fb3c27e11162,Healthy_108,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/109.wav,109.wav,Healthy,Healthy,NORMAL,14.3646,48000,1,.wav,1379228,bfe31b7c64663e873584b69192fe826dfe1dfa344601470474f7a7415761523c,Healthy_109,VALID
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/11.wav,11.wav,Healthy,Healthy,NORMAL,20.7539,48000,1,.wav,1992600,798bfb59a512f772bb38f86e05eef9213c4886862540ae86f3ad6f14c27ccc49,Healthy_11,VALID
