epoch,train_loss,train_acc,val_loss,val_acc,val_abnormal_recall,val_abnormal_precision,val_abnormal_f1,val_macro_f1,val_weighted_f1,lr
1,0.4627,0.818,0.61,0.7352,0.9868,0.9804,0.9836,0.7563,0.7348,0.000299
2,0.2155,0.9244,0.2638,0.8736,1.0,0.9775,0.9886,0.8769,0.8682,0.000297
3,0.1319,0.9548,0.1522,0.9527,1.0,0.924,0.9605,0.9536,0.9526,0.000293
4,0.1362,0.9552,0.4679,0.8564,1.0,0.956,0.9775,0.8606,0.8512,0.000287
5,0.1036,0.9637,0.2949,0.853,0.9441,0.9897,0.9663,0.8643,0.8546,0.00028
6,0.0795,0.9747,0.4115,0.8865,0.9934,0.9805,0.9869,0.8891,0.8817,0.000271
7,0.0567,0.9802,0.2865,0.8822,0.9934,0.9649,0.9789,0.8848,0.8775,0.000262
8,0.0625,0.9764,0.7869,0.8074,0.9934,0.9805,0.9869,0.8176,0.8033,0.000251
9,0.0522,0.9802,0.6239,0.8684,0.9967,0.9806,0.9886,0.8717,0.8627,0.000238
10,0.0622,0.9785,0.4975,0.8762,0.9967,0.9806,0.9886,0.8785,0.8701,0.000225
