filepath,filename,label,mapped_class,group_id,duration_seconds,sample_rate
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/106.wav,106.wav,Healthy,NORMAL,Healthy_block_15,24.9279,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/107.wav,107.wav,Healthy,NORMAL,Healthy_block_15,9.8201,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/108.wav,108.wav,Healthy,NORMAL,Healthy_block_15,21.1689,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/109.wav,109.wav,Healthy,NORMAL,Healthy_block_15,14.3646,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/110.wav,110.wav,Healthy,NORMAL,Healthy_block_15,11.3405,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/111.wav,111.wav,Healthy,NORMAL,Healthy_block_15,34.7774,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/112.wav,112.wav,Healthy,NORMAL,Healthy_block_15,8.3164,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/127.wav,127.wav,Healthy,NORMAL,Healthy_block_18,9.6646,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/128.wav,128.wav,Healthy,NORMAL,Healthy_block_18,14.9361,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/129.wav,129.wav,Healthy,NORMAL,Healthy_block_18,14.0575,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/130.wav,130.wav,Healthy,NORMAL,Healthy_block_18,24.787,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/131.wav,131.wav,Healthy,NORMAL,Healthy_block_18,20.3608,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/132.wav,132.wav,Healthy,NORMAL,Healthy_block_18,53.115,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/133.wav,133.wav,Healthy,NORMAL,Healthy_block_18,11.5083,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/43.wav,43.wav,Healthy,NORMAL,Healthy_block_06,41.0087,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/44.wav,44.wav,Healthy,NORMAL,Healthy_block_06,13.6696,48000
Poultry Vocalization Signal Dataset for Early Disease Detection/Poultry Vocalization Signal Dataset for Early Disease Detection/Chicken_Audio_Dataset/Healthy/45.wav,45.wav,Healthy,NORMAL,Healthy_block_06,44.0464,48000
